supplierID,category,subCategory,certifier,expiryDate,documents
11eacc24a48e9c80b22655ad06303fe4,WBE,,,,
11ead7098f824c208c1fe9548944c38c,MBE,,,,"id:11ec7f65ec0a5f908e7db9142d073f01,name:SGT B-BBEE Certificate 22 April 2021 - 21 April 2022.pdf"
11ead74510ca25608c1fe9548944c38c,LGBTQ+,,,,
11ead7ed5c1ff2808c1fe9548944c38c,LGBTQ+,,,,
11ead7ed5c1ff2808c1fe9548944c38c,PWD,,,,
11eae207891a1da08eee9f4b76074627,MBE,,,,
11eae207bc95e5108eee9f4b76074627,MBE,,,,
11eae207bc95e5108eee9f4b76074627,LGBTQ+,,,,
11eae60fb4f56360b7035fdab130df50,LGBTQ+,,,,
11eae60fb4f56360b7035fdab130df50,PWD,,,,
11eaeb55cd371c70a41c458a94528983,WBE,,,,
11eaf337d57d2200a053ed7470043e61,PWD,,,,
11eaf33af4d935f0a053ed7470043e61,WBE,,,,
11eb19cf960ea940b96af3553985bb9f,PWD,,,,
11eb19cf960ea940b96af3553985bb9f,LGBTQ+,,,,
11eb19f158c6d310b96af3553985bb9f,PWD,,,,
11eb19f158c6d310b96af3553985bb9f,LGBTQ+,,,,
11eb19f158c6d310b96af3553985bb9f,WBE,,,,"id:11ec84f00bdb1f509826d5b1ee4ba731,name:PROPATO MARIA Certificado_27183673713.pdf"
11eb1ebd4714f4a09dbc7339e240521a,LGBTQ+,,,,
11eb1ebd4714f4a09dbc7339e240521a,WBE,,,,
11eb1ebd4714f4a09dbc7339e240521a,MBE,,,,
11eb1ebd4714f4a09dbc7339e240521a,VBE,,,,
11eb1ebd469983109dbc7339e240521a,WBE,,,,
11eb2009bdd37b009dbc7339e240521a,MBE,,,,
11eb2009bff6f7409dbc7339e240521a,MBE,,,,
11eb2009c0e304f09dbc7339e240521a,LGBTQ+,,,,
11eb2009c0e304f09dbc7339e240521a,WBE,,,,"id:11ec835bfaa829709826d5b1ee4ba731,name:WIM Tech - QSE Sworn Affidavit - Commissioned - 30.06.2021.pdf"
11eb2009c0e304f09dbc7339e240521a,MBE,,,,
11eb2385836c0890b6c0b1f5167550f1,PWD,,,,
11eb2385836c0890b6c0b1f5167550f1,MBE,,,,
11eb2385836c0890b6c0b1f5167550f1,LGBTQ+,,,,
11eb2e37cc226fe0b049c76618ca89c0,WBE,,,,
11eb5bd0fb12f1a0b21d1361f2cdefee,WBE,,,,
11eb346290207e20b86d4f563ddaa693,LGBTQ+,,,,
11eb346290207e20b86d4f563ddaa693,MBE,,,,
11eb346290207e20b86d4f563ddaa693,PWD,,,,
11eb6602ffd6ff6095d701990ae170e9,PWD,,,,
