override,businessName,taxCountry,legalName,nativeBusinessName,nativeLegalName,taxRegistrationNumbers,street1,street2,street3,city,state,postalCode,poBox,poBoxPostalCode,dunsNumber,BVD,DUNS,LEI,unspsc,naics,website,isDiversitySupplier,stockExchange,stockSymbol,buyerSystemDetails
,AC NIELSEN PTY LTD,Australia,THE NIELSEN COMPANY (AUSTRALIA) PTY LTD,,,35008417874,11 TALAVERA ROAD,,,MACQUARIE PARK,New South Wales,2113,,,,AU008417874,,,,,https://global.nielsen.com/global/en/,,,,103715
,ACC Corporate,Australia,ACC Corporate,,,66057912259, 4 Roy Street,,,Welshpool,Western Australia,6106,,,,AU057912259,,,,,https://www.acc-corporate.com/,,,,112587
,Accelerer,Australia,Accelerer,,,75126753320,"Suite 3, 596 North Road",,,Ormond,Victoria,3204,,,,AU126753320,,,,,https://www.accelerer.com.au/,,,,112515
,ACCENTURE AUSTRALIA LTD,Australia,ACCENTURE AUSTRALIA PTY LIMITED,,,49096776895,"LVL 18, 180 LONDSDALE ST",,,MELBOURNE,Victoria,3000,,,,AU096776895-B0009,,,,,accenture.com,,,,102626
,ACCESS INDUSTRIES FOR THE DISABLED,Australia,ACCESS INDUSTRIES FOR THE DISABLED LTD,,,84001797511,131 Station Road,,,Seven hills,New South Wales,2147,,,,AU001797511,,,,,https://accessindustries.com.au/,,,,111988
,ACCESS TRAINING CENTRE PTY LTD,Australia,The Trustee for ACCESS TRAINING CENTRE UNIT TRUST,,,93640269133,7 LA SALLE STREET,,,DUDLEY PARK,South Australia,5008,,,,AU93640269133,,,,,https://www.accesstrainingcentre.com.au/,,,,106471
,ACCIONA CONSTRUCTION AUSTRALIA PTY,Australia,ACCIONA CONSTRUCTION AUSTRALIA PTY LTD,,,66618030872,"174 TURNER STREET,",,,PORT MELBOURNE,Victoria,3207,,,,AU618030872,,,,,https://www.acciona.com.au/,,,,112800
,ACCORD ENERGY PTY LTD,Australia,ACCORD ENERGY PTY LTD,,,70165319460,23 SHIERLAW AVENUE,,,CANTERBURY,Victoria,3126,,,,AU165319460,,,,,accord-esl.com,,,,109738
,ACCURASSI PTY LTD,Australia,KNOWLEDGE GLOBAL PTY LTD,,,45102449561,11 York Street,,,Sydney,New South Wales,2000,,,,AU102449561,,,,,accurassi.com,,,,110082
,ACH AUSTRALIA PTY LTD,Australia,ACH AUSTRALIA PTY LTD,,,14619574542,62-66 KING STREET,,,MELBOURNE,Victoria,3000,,,,AU619574542,,,,,https://www.achaustralia.com.au/,,,,109595
