supplierID,category,subCategory,certifier,expiryDate,documents
11e9d8661c9e70009f2749943f88e178,WBE,,WBENC,,"id:11eca955fe4594d0bb52c72f7621ba40,name:Lexair Electronics WBENC Certificate 247795 through 06-30-2022.pdf"
11e9d8661c9e70009f2749943f88e178,WBE,,WBENC,,"id:11eca955fe768fe0bb52c72f7621ba40,name:Lexair Electronics WOSB Certification valid through June 30 2022.pdf"
11e9f64b20b9fa30a3cb2d1fe865e6bb,MBE,,NMSDC,,
11ea06f6085019508707d151ecc03092,MBE,,NMSDC,,"id:11ecd53cebcb8360b0ca89326f5fd1c3,name:2022 CVMSDC Certificate_Alliance of Professionals & Consultants, Inc..pdf"
11ea01272859885099a54d1fc2964336,LGBTQ+,,,,
11ea01272859885099a54d1fc2964336,MBE,,,,
11ea01272859885099a54d1fc2964336,MBE,,,,
11e9f6f40a413710a3cb2d1fe865e6bb,LGBTQ+,,,,"id:11ec25f5e657ed20b637298fd044e3a1,name:NGLCC® LGBTBE® Certificate  Pivital, Inc..pdf"
11e9f75d2c14ca509dff85cc907ce5e3,MBE,,NMSDC,,"id:11ebfac325af3c20a30c75aa24f4dcbb,name:NYC MBE CertificationAA.jpg"
11e9f75d2c14ca509dff85cc907ce5e3,MBE,,NMSDC,,"id:11ebfac325c0c850a30c75aa24f4dcbb,name:NY NJ Minority Supplier Development Council.Certificate 2021 Switzer Group Inc..pdf"
11e9fc922be5b5509c56b9c85c7afada,MBE,,NMSDC,,"id:11ebf472033276a0be30a9bc040e141d, name:Group MSDC Certificate 2021-22.pdf"
11e9fca7a7a2e7c09c56b9c85c7afada,LGBTQ+,,,,
11e9fcace7d374409c56b9c85c7afada,MBE,,NMSDC,,"id:11ec51f5de850660b58b2586d32420aa,name:State of IL BEP 2021_2022 Certification.pdf"
11e9fcace7d374409c56b9c85c7afada,MBE,,NMSDC,,"id:11ec51f5de964470b58b2586d32420aa,name:ILUCP DBE 2021_2022.pdf"
11e9fee4105783009c56b9c85c7afada,MBE,,NMSDC,,"id:11ebe35ce7a664308c872374e5ff3065,name:cert.jpg"
11ea012200eb550099a54d1fc2964336,PWD,,,,"id:11ecd61763a03b80b0ca89326f5fd1c3,name:E. Maygoo Technologies, LLC - DBE Approval Letter.pdf"
11ea012200eb550099a54d1fc2964336,WBE,,,,
11e9fef8485fe7609c56b9c85c7afada,WBE,,,,
11ea011f829de02099a54d1fc2964336,PWD,,,,"id:11ec84f4d39c86609826d5b1ee4ba731, name:1. Equality and Diversity Policy Reviewed May 2021.pdf"
11ea011f829de02099a54d1fc2964336,LGBTQ+,,,,
11ea011f829de02099a54d1fc2964336,MBE,,,,
11ea008eded57ab099a54d1fc2964336,WBE,,WBENC,,"id:11ec883e17c50320865b5bd734baea41,name:WeConnect Diverse Supplier Certificate Showcase Interiors 13 Aug 22.pdf"
11ea0117dc466d2099a54d1fc2964336,MBE,,NMSDC,,"id:11ecd61763a03b80b0ca89326f5fd1c3,name:E. Maygoo Technologies, LLC - DBE Approval Letter.pdf"
11e9ef8e1552c05084f2ab9dba5ba2e8,LGBTQ+,,,,
11e9ef8e1552c05084f2ab9dba5ba2e8,MBE,,,,
11e9ef8e1552c05084f2ab9dba5ba2e8,MBE,,,,
11e9ef8e4523330084f2ab9dba5ba2e8,LGBTQ+,,,,"id:11ec25f5e657ed20b637298fd044e3a1,name:NGLCC® LGBTBE® Certificate  Pivital, Inc..pdf"
11e9ef8e5a49c7d084f2ab9dba5ba2e8,MBE,,NMSDC,,"id:11ebfac325af3c20a30c75aa24f4dcbb,name:NYC MBE CertificationAA.jpg|id:11ebfac325c0c850a30c75aa24f4dcbb,name:NY NJ Minority Supplier Development Council.Certificate 2021 Switzer Group Inc..pdf"
11e9ef8e9561581084f2ab9dba5ba2e8,MBE,,NMSDC,,"id:11ebf472033276a0be30a9bc040e141d, name:Group MSDC Certificate 2021-22.pdf"
11e9ef8eda09071084f2ab9dba5ba2e8,LGBTQ+,,,,
11e9ef8edc006a4084f2ab9dba5ba2e8,MBE,,NMSDC,,"id:11ec51f5de850660b58b2586d32420aa,name:State of IL BEP 2021_2022 Certification.pdf|id:11ec51f5de964470b58b2586d32420aa,name:ILUCP DBE 2021_2022.pdf"
11e9f127c0ceaee084f2ab9dba5ba2e8,MBE,,NMSDC,,"id:11ebe35ce7a664308c872374e5ff3065,name:cert.jpg"
11e9f533a4462b3082cca37ca04fd496,PWD,,,,"id:11ecd61763a03b80b0ca89326f5fd1c3,name:E. Maygoo Technologies, LLC - DBE Approval Letter.pdf"
11e9f533a4462b3082cca37ca04fd496,WBE,,,,
11e9f72f01b40790a6a1cb2c17db1da0,MBE,,,,
11e9f72f4be56840a6a1cb2c17db1da0,MBE,,NMSDC,,"id:11ec9e2a00e69810ac7a59e49d2db22e,name:CMSDC Cert Exp 123122 CH02467.pdf"
11e9f72f4be56840a6a1cb2c17db1da0,WBE,,WBENC,,"id:11ec9e2a0112b120ac7a59e49d2db22e,name:WBENC WBE Certificate Exp 12-31-2022.pdf"
11e9f72f87cd40d0a6a1cb2c17db1da0,MBE,,,,
11e9f72f87cd40d0a6a1cb2c17db1da0,WBE,,,,
11e9f72fba43cd40a6a1cb2c17db1da0,PWD,,,,
11e9f72fba43cd40a6a1cb2c17db1da0,VBE,,,,
11e9f72fdd1c6520a6a1cb2c17db1da0,MBE,,,,
11e9f7300d5e1030a6a1cb2c17db1da0,WBE,,WBENC,,"id:11ebf94d8b7a2cd0a30c75aa24f4dcbb, name:Compliance.pdf"
11ea99d1934e0580a2647b403a3a1b1a,WBE,,WBENC,,"id:11ec10b9a21a0090a30c75aa24f4dcbb,name:ITLS Women Owned Business Confirmation.pdf"
11ea99d278b1edd0a2647b403a3a1b1a,PWD,,,,
11ea99d278b1edd0a2647b403a3a1b1a,LGBTQ+,,,,
11eaab0f3a2b5940b79fb14f33281eb0,MBE,,,,
11eacc24a48e9c80b22655ad06303fe4,PWD,,,,
11eacc24a48e9c80b22655ad06303fe4,LGBTQ+,,,,
11eacc24a48e9c80b22655ad06303fe4,VBE,,,,
11eacc24a48e9c80b22655ad06303fe4,WBE,,,,
11ead7098f824c208c1fe9548944c38c,MBE,,NMSDC,,"id:11ec7f65ec0a5f908e7db9142d073f01,name:SGT B-BBEE Certificate 22 April 2021 - 21 April 2022.pdf"
11ead74510ca25608c1fe9548944c38c,LGBTQ+,,,,
11ead7ed5c1ff2808c1fe9548944c38c,LGBTQ+,,,,
11ead7ed5c1ff2808c1fe9548944c38c,PWD,,,,
11eae207891a1da08eee9f4b76074627,MBE,,,,
11eae207bc95e5108eee9f4b76074627,MBE,,,,
11eae207bc95e5108eee9f4b76074627,LGBTQ+,,,,
11eae60fb4f56360b7035fdab130df50,LGBTQ+,,,,
11eae60fb4f56360b7035fdab130df50,PWD,,,,
11eaeb55cd371c70a41c458a94528983,WBE,,,,
11eaf337d57d2200a053ed7470043e61,PWD,,,,
11eaf33af4d935f0a053ed7470043e61,WBE,,,,
11eb19cf960ea940b96af3553985bb9f,PWD,,,,
11eb19cf960ea940b96af3553985bb9f,LGBTQ+,,,,
11eb19f158c6d310b96af3553985bb9f,PWD,,,,
11eb19f158c6d310b96af3553985bb9f,LGBTQ+,,,,
11eb19f158c6d310b96af3553985bb9f,WBE,,WBENC,,"id:11ec84f00bdb1f509826d5b1ee4ba731,name:PROPATO MARIA Certificado_27183673713.pdf"
11eb1ebd4714f4a09dbc7339e240521a,LGBTQ+,,,,
11eb1ebd4714f4a09dbc7339e240521a,WBE,,,,
11eb1ebd4714f4a09dbc7339e240521a,MBE,,,,
11eb1ebd4714f4a09dbc7339e240521a,VBE,,,,
11eb1ebd469983109dbc7339e240521a,WBE,,,,
11eb2009bdd37b009dbc7339e240521a,MBE,,,,
11eb2009bff6f7409dbc7339e240521a,MBE,,,,
11eb2009c0e304f09dbc7339e240521a,LGBTQ+,,,,
